Db,Source,originalsource,Site,Habitat_type,Latitude,Longitude,Site_name,Plot,sitename,Soil_type,Year collected,Depth,U_depth_cm,L_depth_cm,Center Depth (cm),BD_reported_g_cm3,Gamma Year,fractionC,fractionOM,fraction inorgC,fracCmodeled,fractionN,,notes,DOI,,N_perc,OC_perc,C/N,,C density,N density mg cm-3,C:N=15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,1,,,,34-35,34,35,34.5,0.532660349,1888.390637,0.062645826,,,,0.0041229,,,,,0.412290007,6.264582634,15.19460217,,,2.19610539,0.417638842,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,1,,,,39-40,39,40,39.5,0.78791852,,0.027209306,,,,0.001931214,,,,,0.193121359,2.720930576,14.08922656,,,1.521638954,0.181395372,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,1,,,,44-45,44,45,44.5,0.918226876,,0.043208618,,,,0.002844062,,,,,0.284406215,4.320861816,15.19257171,,,2.611494303,0.288057454,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,1,,,,49-50,49,50,49.5,0.586856976,,0.051863427,,,,0.003365524,,,,,0.336552352,5.186342716,15.41021089,,,1.975080956,0.345756181,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,1,,,,54-56,54,56,55,0.616606555,,0.030593445,,,,0.002607234,,,,,0.260723352,3.05934453,11.7340641,,,1.607637279,0.203956302,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,1,,,,60-62,60,62,61,0.567271699,,0.050139194,,,,0.003725387,,,,,0.372538686,5.013919353,13.45878843,,,2.113306534,0.33426129,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,1,,,,66-68,66,68,67,0.579843753,,0.037383778,,,,0.00383955,,,,,0.383955002,3.73837781,9.736499829,,,2.226339093,0.249225187,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,1,,,,72-74,72,74,73,0.369262002,,0.064622135,,,,0.004358015,,,,,0.435801506,6.462213516,14.8283414,,,1.609249366,0.430814234,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,1,,,,78-80,78,80,79,0.343035471,,0.08078022,,,,0.004992081,,,,,0.499208122,8.078022003,16.18167181,,,1.712460933,0.5385348,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,0-1,0,1,0.5,0.228508084,2015.479452,0.065182776,,,,0.00562559,,,,,0.562559009,6.518277645,11.58683364,,,1.285492813,0.434551843,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,1-2,1,2,1.5,0.258724603,2011.44181,0.075922375,,,,0.006512061,,,,,0.651206076,7.592237473,11.65873254,,,1.684830335,0.506149165,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,2-3,2,3,2.5,0.250652091,2007.401477,0.104670467,,,,0.007581789,,,,,0.758178949,10.46704674,13.80550957,,,1.900391389,0.697803116,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,3-4,3,4,3.5,0.222650338,2003.11829,0.130367918,,,,0.009758153,,,,,0.975815296,13.0367918,13.35989695,,,2.172656055,0.869119453,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,4-5,4,5,4.5,0.205726068,2000.009614,0.133638315,,,,0.010608046,,,,,1.060804605,13.36383152,12.5978257,,,2.182351603,0.890922101,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,9-10,9,10,9.5,0.298019348,1979.82683,0.079258733,,,,0.00612137,,,,,0.61213696,7.92587328,12.94787572,,,1.824286577,0.528391552,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,14-15,14,15,14.5,0.29078331,1952.056629,0.060238171,,,,0.004583434,,,,,0.458343416,6.023817062,13.14258446,,,1.332786156,0.401587804,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,19-20,19,20,19.5,0.37570053,1922.738377,0.030257728,,,,0.002191103,,,,,0.21911025,3.02577281,13.8093622,,,0.823198371,0.201718187,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,24-25,24,25,24.5,0.308937329,,0.073137116,,,,0.004809821,,,,,0.480982125,7.313711643,15.2057868,,,1.48593333,0.487580776,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,29-30,29,30,29.5,0.211504672,,0.090789137,,,,0.005777465,,,,,0.577746451,9.078913689,15.71435649,,,1.221960736,0.605260913,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,34-35,34,35,34.5,0.255580828,,0.084075727,,,,0.006141567,,,,,0.614156723,8.407572746,13.68962096,,,1.569666838,0.56050485,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,39-40,39,40,39.5,0.359371653,,0.050710373,,,,0.003653215,,,,,0.365321457,5.071037292,13.88102776,,,1.312861759,0.338069153,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,44-45,44,45,44.5,0.406765697,,0.043412218,,,,0.002891675,,,,,0.289167464,4.341221809,15.01282943,,,1.17623405,0.289414787,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,49-50,49,50,49.5,0.568873417,,0.033368254,,,,0.001802169,,,,,0.180216908,3.336825371,18.51560655,,,1.025206083,0.222455025,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,54-56,54,56,55,0.44010103,,0.05258162,,,,0.003466755,,,,,0.346675545,5.258162022,15.16738662,,,1.525722644,0.350544135,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,60-62,60,62,61,0.429937336,,0.032062092,,,,0.002179554,,,,,0.217955351,3.206209183,14.71039444,,,0.93707143,0.213747279,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Connectucut,Salt marsh,,,3. Connectucut,2,,,,66-68,66,68,67,0.352508192,,0.074754171,,,,0.005085322,,,,,0.508532226,7.475417137,14.69998705,,,1.792617756,0.498361142,,,,,,,,,,,,,,,,,,,,,,,,,,,
